iter	Passed	Remaining
0	1	106
1	1	92
2	2	87
3	3	82
4	4	85
5	5	84
6	6	85
7	7	85
8	8	84
9	9	83
10	10	82
11	11	80
12	11	79
13	12	79
14	13	78
15	14	78
16	15	77
17	16	76
18	17	75
19	18	73
20	19	73
21	20	72
22	21	71
23	22	70
24	23	69
25	24	68
26	24	67
27	25	66
28	26	65
29	27	65
30	28	63
31	29	62
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	57
38	35	56
39	36	55
40	37	54
41	38	52
42	39	51
43	40	51
44	41	50
45	42	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	38
58	53	37
59	54	36
60	55	35
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	67	23
74	68	22
75	68	21
76	69	20
77	70	19
78	71	18
79	72	18
80	73	17
81	74	16
82	74	15
83	75	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	83	7
92	84	6
93	85	5
94	86	4
95	87	3
96	88	2
97	89	1
98	90	0
99	91	0
